Week,Publish Slot,Track,Content Category,Video Topic,Storytelling Angle,Hook Line,Google Flow Visual Style,SEO Title,Status
1,Mon,A - Science & The Tree,Formation,"The wound: what happens in the first hours after injury","Detective cold-open","Cut this tree and a chemical emergency starts within minutes.","Macro, wet glistening resin, shallow depth of field","What Happens Inside a Wounded Agarwood Tree (First 14 Days)",Planned
1,Wed,B - History & Trade,Big picture,"Why humans have burned fragrant wood for 3,000 years","Origin story","Before money, four civilisations were already trading this smell.","Montage, spinning world map, warm sepia","Agarwood: A 3,000-Year History of the World's Most Prized Wood",Planned
1,Fri,C - Culture / Myth / Medicine,Japanese ritual,"Kodo - Japan's way of incense","Ritual close-up","In this room nobody smells the incense - they listen to it.","Tatami room, soft window light, near-still camera","Kodo: The Japanese Art of 'Listening' to Agarwood",Planned
1,Sun,D - Wildcard,Economy,"Why a kilo of Kyara beats a kilo of gold","Auction / price reveal","Put it on a scale against gold and the wood wins.","Auction-house elegance, spotlit, scale macro","Why Agarwood Costs More Than Gold (The Real Economics)",Planned
2,Mon,A - Science & The Tree,Anatomy,"Healthy wood vs agarwood - same tree, two states","Before / after split","One half of this log is worthless. The other half is a fortune.","Split-screen, raking side light, macro grain","Healthy Wood vs Agarwood: Why One Tree Makes Both",Planned
2,Wed,B - History & Trade,Ancient Egypt,"Agarwood in ancient Egyptian temple incense","Day-in-the-life","Dawn in a temple - and the gods are about to be perfumed.","Torchlit stone halls, hieroglyphs, incense haze","Agarwood and Sacred Smoke in Ancient Egypt",Planned
2,Fri,C - Culture / Myth / Medicine,Incense game,"Monko - the incense-listening game","Day-in-the-life","Five guests, one hidden scent, and a scoreboard nobody expects.","Tatami room, lacquered tools, candle warmth","Monko: The 600-Year-Old Game of Guessing Incense",Planned
2,Sun,D - Wildcard,Mystery,"The mystery: why does this tree only make perfume when it's hurt?","Detective / whodunit","A flawless fragrant chunk - now rewind to the crime that made it.","Noir-tinged macro, reverse time-lapse","Why Does Agarwood Only Form When the Tree Is Injured?",Planned
3,Mon,A - Science & The Tree,Microbiology,"The fungi that help: Fusarium and friends","POV: a fungal spore","A microscopic spore lands on an open wound and the war begins.","Time-lapse macro, cream-to-chocolate colour shift","Which Fungi Create Agarwood? Fusarium, Lasiodiplodia and More",Planned
3,Wed,B - History & Trade,Ancient Egypt,"Agarwood in Egyptian mummification","Object biography","Follow one resin parcel from a riverside dock to a royal tomb.","Embalming workshop, linen, amber lamplight","Did Ancient Egyptians Use Agarwood to Embalm the Dead?",Planned
3,Fri,C - Culture / Myth / Medicine,Japanese ritual,"'Listen, don't smell' - why Kodo uses the verb 'to hear'","Sensory journey","Close your eyes - the incense is about to say something.","Extreme close-up of a warmed incense cup, breath","Why Japan Says You 'Listen' to Incense, Not Smell It",Planned
3,Sun,D - Wildcard,Grading,"The sinking-in-water test - does it actually work?","Lab bench","Drop three chips in a glass. Two float. One tells the truth.","Clean tabletop macro, side light, water tank","Does the Agarwood Water Test Really Work? We Tested It",Planned
4,Mon,A - Science & The Tree,Plant signalling,"Three alarm hormones: jasmonic acid, salicylic acid, ethylene","POV: an alarm signal","One cut releases three chemical shouts at the same time.","Bioluminescent cell interior, neon-on-black pulses","Jasmonic Acid, Salicylic Acid, Ethylene: How a Tree Builds Agarwood",Planned
4,Wed,B - History & Trade,Ancient India,"Aguru in the Vedas and the Mahabharata","Letter / ancient voice","A king writes home: my hall must smell of aguru by nightfall.","Lamp-lit palace, incense haze, ornate textiles","Aguru: Agarwood in the Mahabharata and Ancient India",Planned
4,Fri,C - Culture / Myth / Medicine,Japanese ritual,"The Six Countries and Five Tastes - Kodo's map of oud","Family tree / classification","Sweet, sour, bitter, salty, hot - and six imagined homelands.","Hand-drawn scroll classification animated to life","Rikkoku Gomi: How Kodo Classifies Agarwood by Taste",Planned
4,Sun,D - Wildcard,Production,"Wild vs plantation oud - can anyone really tell?","Comparison / blind test","Two vials. One forest, one farm. Now pick the wild one.","Split-screen lab, paired vials, cool light","Wild vs Plantation Agarwood: Can You Tell the Difference?",Planned
5,Mon,A - Science & The Tree,Physics,"Why agarwood sinks: density above 1.0 g/cm3","Lab bench","Wood floats. This wood drops like a stone. Here's the physics.","Slow-motion water tank, side-lit chunk sinking","Why Real Agarwood Sinks in Water (The Density Explained)",Planned
5,Wed,B - History & Trade,Biblical world,"'Aloes' in the Hebrew Bible - Song of Songs, Psalms, Proverbs","Origin story (of a word)","The Bible's 'aloes' isn't the plant on your windowsill.","Illuminated manuscript dissolving into a walled garden","'Aloes' in the Bible: The Agarwood Hidden in Scripture",Planned
5,Fri,C - Culture / Myth / Medicine,Literature,"Incense in The Tale of Genji - the perfume contest","Court intrigue","At court, the wrong blend could ruin a noblewoman by morning.","Heian palace, silk screens, drifting smoke, soft gold","The Perfume Contest in The Tale of Genji (Agarwood at Court)",Planned
5,Sun,D - Wildcard,Production,"How oud oil is distilled - a hydro-distillation walk-through","Recipe / how-it's-made","A copper pot, a fire, and weeks of waiting for one drop.","Warm documentary, night fire, steam, copper","How Oud Oil Is Made: Traditional Agarwood Distillation",Planned
6,Mon,A - Science & The Tree,Phytochemistry,"The 210+ sesquiterpenes - agarwood's scent library","POV: a single molecule","One injury. Two hundred new fragrance molecules. Why so many?","Clean 3D molecular cloud, slow orbit, neon-on-black","Why Agarwood Smells So Complex: 200+ Sesquiterpenes",Planned
6,Wed,B - History & Trade,China,"Han Dynasty China - the first agarwood imports","Object biography","A foreign log reaches a Han court - and the elite never recover.","Period chiaroscuro, bronze braziers, lacquer","When Did China First Import Agarwood? (The Han Dynasty)",Planned
6,Fri,C - Culture / Myth / Medicine,Buddhism,"Buddhist incense offering - what rising smoke means","Origin story (of a gesture)","Why does a thread of smoke stand in for a prayer?","Temple at dawn, volumetric light up a sunbeam","Why Buddhists Burn Agarwood: The Meaning of Incense Offering",Planned
6,Sun,D - Wildcard,Trade rules,"CITES paperwork - how legal oud actually crosses a border","Day-in-the-life (a customs desk)","In 1995 a wood traded for 3,000 years suddenly needed a passport.","Archival macro, stamps, ledgers, one red accent","How CITES Rules Control the Global Agarwood Trade",Planned
7,Mon,A - Science & The Tree,Signature compound,"Alpha-guaiene - agarwood's signature molecule","POV: a single molecule","Meet the molecule responsible for that warm, woody hum.","3D molecule assembling atom by atom in a void","Alpha-Guaiene: The Molecule Behind Agarwood's Signature Scent",Planned
7,Wed,B - History & Trade,Japan,"The Shosoin and the Ranjatai log - 8th-century Japan","Object biography","A 1,200-year-old log of oud - and the emperors who each cut a sliver.","Museum vault, single spotlit ancient log","Ranjatai: Japan's 1,200-Year-Old Agarwood Treasure",Planned
7,Fri,C - Culture / Myth / Medicine,Korea,"Korean chimhyang and royal incense","Day-in-the-life","In the Korean court, the right smoke announced the king before he spoke.","Hanok hall, celadon censer, low gold light","Chimhyang: Agarwood in Korean Royal Ritual",Planned
7,Sun,D - Wildcard,Production,"The yield problem - kilos of wood for grams of oil","By the numbers","Seventy kilos of wood. A teaspoon of oil. Now you see the price.","Neon data-viz over dark, stacking-mass animation","Why Oud Oil Is So Expensive: The Brutal Yield Math",Planned
8,Mon,A - Science & The Tree,Phytochemistry,"2-(2-phenylethyl)chromones - agarwood's chemical fingerprint","Forensic / lab","One class of molecule almost no other plant makes - and it proves the wood is real.","Lab-noir, microscope POV, spectrometer peaks, cool blue","The Molecule That Proves Agarwood Is Real (Chromones)",Planned
8,Wed,B - History & Trade,Greco-Roman,"Dioscorides and Pliny - 'agallochon' in the Greco-Roman world","Letter / ancient voice","A Roman naturalist scribbles: a wood from India, costlier than nard.","Roman study, scrolls, oil lamp, marble","Agarwood in Ancient Rome: Pliny, Dioscorides and 'Agallochon'",Planned
8,Fri,C - Culture / Myth / Medicine,Medicine,"Ayurveda - 'aguru' as a classical drug","Myth-bust (careful framing)","Ayurvedic texts list aguru by name - here's what they actually claim.","Warm apothecary, palm-leaf manuscripts, dust in light","Agarwood in Ayurveda: What the Classical Texts Really Say",Planned
8,Sun,D - Wildcard,Conservation,"The black market - agarwood smuggling cases","Heist / thriller","A suitcase of wood, an airport scanner, and a fortune at stake.","Documentary-thriller, airport X-ray, seized crates","Inside the Agarwood Black Market: Real Smuggling Cases",Planned
9,Mon,A - Science & The Tree,Genetics,"The ASS1 gene - agarwood's sesquiterpene synthase","POV: a gene","Flip one genetic switch and the perfume factory turns on.","DNA helix unwinding into a transcription scene","ASS1: The Gene That Lets Aquilaria Make Agarwood",Planned
9,Wed,B - History & Trade,Indian Ocean,"The Periplus of the Erythraean Sea - early aromatics trade","Map journey","A 1st-century shipping manual lists the ports where oud changed hands.","Animated nautical chart, dhow, monsoon arrows","The Periplus: Mapping the Ancient Agarwood Sea Trade",Planned
9,Fri,C - Culture / Myth / Medicine,Islamic culture,"Islamic perfume etiquette - oud, attar and the sunnah of scent","Origin story (of a custom)","A tradition says: refuse perfume and you've refused a gift.","Andalusian courtyard, fountains, tilework, warm gold","Oud in Islam: Perfume, Attar and the Etiquette of Scent",Planned
9,Sun,D - Wildcard,Perfumery,"Reading an oud oil - top, heart and base over six hours","Sensory journey","One drop, six hours, three completely different perfumes.","Macro of a blotter strip, clock dissolves, shifting light","How an Oud Oil Changes Over 6 Hours on Skin",Planned
10,Mon,A - Science & The Tree,Genetics,"AsMYC2 - the master switch behind the perfume","POV: a gene","One transcription factor decides whether a wound becomes oud.","Glowing DNA strand morphing into a tree silhouette","AsMYC2: The Master Gene That Controls Agarwood Formation",Planned
10,Wed,B - History & Trade,China,"Tang Dynasty - agarwood at the imperial court","Court intrigue","In the Tang court, the wrong incense in the wrong room was a misstep.","Period chiaroscuro, lacquered hall, single smoke thread","Agarwood in the Tang Dynasty: Incense, Status and Power",Planned
10,Fri,C - Culture / Myth / Medicine,Vietnam,"Vietnamese ancestor altars and daily incense","Day-in-the-life","Every morning, a stick of incense links the living and the dead.","Warm home interior, altar, dawn light, drifting smoke","Agarwood on Vietnamese Ancestor Altars: A Daily Ritual",Planned
10,Sun,D - Wildcard,Biotech,"Whole-tree induction technology - the science of a deliberate wound","Lab bench","Scientists figured out how to give a tree exactly the right injury.","Bright field documentary, drilling close-up, drone reveal","The Agarwood-Inducing Technique: Farming Oud on Purpose",Planned
11,Mon,A - Science & The Tree,Formation timeline,"The three formation stages: hours, weeks, a year","Time-lapse","Hour one looks like nothing. Month twelve looks like gold.","Single-frame long time-lapse, seasons flickering","How Agarwood Forms: The Early, Middle and Late Stages",Planned
11,Wed,B - History & Trade,Japan,"The 538 CE driftwood that reached Awaji Island","Object biography","A burnt-smelling log washes ashore - and a 1,000-year obsession begins.","Black volcanic sand, storm-blackened log, low gold light","The Driftwood That Brought Agarwood to Japan (538 CE)",Planned
11,Fri,C - Culture / Myth / Medicine,Gulf culture,"The mabkhara ritual - oud in Gulf hospitality","Day-in-the-life","In much of the Gulf you don't say goodbye with words - you say it with smoke.","Slow-motion smoke, white and gold fabric, warm interior","The Mabkhara: How Agarwood Welcomes Guests in the Gulf",Planned
11,Sun,D - Wildcard,Conservation,"Smallholder agarwood as poverty alleviation - does it work?","Profile / portrait","For some farmers, a row of these trees is a retirement plan.","Documentary realism, small plot, family, golden hour","Can Agarwood Lift Farmers Out of Poverty? The Honest Answer",Planned
12,Mon,A - Science & The Tree,Pest ecology,"Insect borers - the beetles that wound the tree","POV: a wood-borer beetle","The bug drilling this trunk has no idea it just started a fortune.","Insect-scale macro, fisheye tunnel POV, frass particles","The Beetles Whose Bites Help Create Agarwood",Planned
12,Wed,B - History & Trade,China,"Song Dynasty - incense connoisseurship and incense clocks","Day-in-the-life","A clock made of smoke once told scholars when to stop reading.","Scholar's studio, incense seal burning, soft daylight","Incense Clocks: How Song-Dynasty China Burned Agarwood to Tell Time",Planned
12,Fri,C - Culture / Myth / Medicine,Medicine,"Traditional Chinese Medicine - 'chenxiang' and qi","Myth-bust (careful framing)","Chinese pharmacopeias list chenxiang by name - here's the classical claim.","Warm apothecary, weighing scale, old herbals, dust in light","Agarwood in Chinese Medicine: 'Chenxiang' and Qi Explained",Planned
12,Sun,D - Wildcard,Production,"Soak time - why fermenting chips for months changes everything","Recipe / how-it's-made","Same wood, same still - but two months underwater rewrites the smell.","Macro of submerged chips, time-lapse, lantern glow","Why Distillers Soak Agarwood for Months Before Distilling",Planned
13,Mon,A - Science & The Tree,Taxonomy,"The 21 Aquilaria species - a field guide","Family tree / classification","Twenty-one trees, one famous talent - meet the whole genus.","Botanical-illustration animation, leaf-by-leaf reveal","The Aquilaria Family: All the Trees That Can Make Agarwood",Planned
13,Wed,B - History & Trade,Arabia,"Pre-Islamic Arabia - the incense routes","Map journey","Long before Islam, caravans were already hauling oud north.","Desert epic, golden hour, animated caravan routes","The Ancient Incense Routes That Carried Oud Across Arabia",Planned
13,Fri,C - Culture / Myth / Medicine,Symbolism,"Why 'smoke that rises' means prayer in so many religions","Origin story (of a symbol)","Egypt, India, China, Arabia - all chose rising smoke for the same reason.","Montage of temples, smoke ascending sunbeams worldwide","Why So Many Religions Use Rising Smoke as Prayer",Planned
13,Sun,D - Wildcard,Mystery,"Why does Kyara form so rarely? - agarwood's great mystery","Unsolved mystery","The finest grade on Earth - and nobody can reliably make it.","Cinematic macro of a Kyara chip, soft reverent light","The Kyara Mystery: Why the Best Agarwood Is Almost Impossible to Make",Planned
14,Mon,A - Science & The Tree,Taxonomy,"Gyrinops - agarwood's other genus","Family tree","Aquilaria gets the fame - but Gyrinops makes oud too.","Botanical-illustration animation, map of the Wallace line","Gyrinops: The Other Trees That Produce Agarwood",Planned
14,Wed,B - History & Trade,Southeast Asia,"The Champa kingdom - medieval Vietnam's oud superpower","Origin story (of a trade)","A vanished kingdom once supplied half the world's oud.","Cham temple ruins, jungle, golden archival haze","Champa: The Lost Kingdom That Ruled the Agarwood Trade",Planned
14,Fri,C - Culture / Myth / Medicine,China,"China's 'xiang dao' - the way of fragrance revival today","Day-in-the-life","A young scholar in Shanghai relights a 1,000-year-old practice.","Modern minimalist studio, incense tools, daylight","Xiang Dao: China's Modern Revival of the Way of Fragrance",Planned
14,Sun,D - Wildcard,Biotech,"Inoculation kits and 'agarbiotech' startups","Profile / portrait","A drill, a plug of fungus, and a pitch deck - meet the agar-startups.","Bright lab-startup aesthetic, vials, plantation drone","The Startups Trying to Engineer Agarwood Faster",Planned
15,Mon,A - Science & The Tree,Taxonomy,"Aquilaria malaccensis - the type species","Profile / portrait","The tree that put 'malaccensis' on every CITES form.","Field documentary, tall rainforest tree, dappled light","Aquilaria malaccensis: The Most Famous Agarwood Tree",Planned
15,Wed,B - History & Trade,Indian Ocean,"Srivijaya and the Malay world as agarwood entrepots","Map journey","Ships didn't sail past these straits - they stopped, and oud changed hands.","Animated maritime map, port cities lighting up","Srivijaya: How the Malay World Became the Hub of the Oud Trade",Planned
15,Fri,C - Culture / Myth / Medicine,Vietnam craft,"Vietnamese village distilling - family lineages of the craft","Profile / portrait","Three generations, one copper still, and a smell only they can make.","Warm documentary, night fire, family hands, copper","The Families Who Distil Vietnam's Oud (A Craft Lineage)",Planned
15,Sun,D - Wildcard,Production,"CO2 and solvent extraction vs traditional distillation","Comparison","Same wood, three machines - and three different ouds come out.","Split-screen lab, supercritical rig vs copper still","CO2 Oud vs Distilled Oud: Which Method Wins?",Planned
16,Mon,A - Science & The Tree,Taxonomy,"Aquilaria sinensis - the Hainan tree (and its sequenced genome)","Detective / lab","We have the full genome of an agarwood tree - here's what it confessed.","DNA sequence scrolling, then pull out to a Hainan hillside","The Aquilaria sinensis Genome: What It Revealed About Oud",Planned
16,Wed,B - History & Trade,Islamic world,"Abbasid Baghdad - Al-Kindi's 'Book of Perfume'","Letter / ancient voice","A 9th-century scientist writes the world's first oud-blending manual.","Abbasid study, manuscripts, distillation glassware, gold","Al-Kindi's Perfume Book: How Baghdad Wrote the Oud Manual",Planned
16,Fri,C - Culture / Myth / Medicine,Medicine,"Unani medicine - "'ud hindi" in the Greco-Arabic tradition","Myth-bust (careful framing)","Greek medicine met Indian wood in a Baghdad pharmacy - here's the result.","Warm apothecary, brass instruments, Arabic herbals","'Ud Hindi: Agarwood in Unani (Greco-Arabic) Medicine",Planned
16,Sun,D - Wildcard,Conservation,"Poaching inside national parks - the conservation frontline","Documentary thriller","A ranger finds fresh stumps where a protected tree stood yesterday.","Tense documentary, jungle patrol, headlamp, cut stumps","Agarwood Poaching: The Fight to Protect Wild Aquilaria",Planned
17,Mon,A - Science & The Tree,Taxonomy,"Aquilaria crassna - the mainland Southeast Asia workhorse","Profile / portrait","The plantation favourite from Thailand to Cambodia - meet crassna.","Field documentary, neat plantation rows, drone","Aquilaria crassna: The Backbone of Southeast Asia's Oud Farms",Planned
17,Wed,B - History & Trade,Mediterranean,"Medieval Cairo - oud in the Geniza trade documents","Detective / archive","Thousand-year-old letters in a Cairo synagogue list oud by the pound.","Archival macro, fragile letters, candlelit reading","The Cairo Geniza: Hidden Letters That Tracked the Oud Trade",Planned
17,Fri,C - Culture / Myth / Medicine,Gulf culture,"Perfuming the bride - oud at Emirati and Saudi weddings","Day-in-the-life","Before she walks out, the bride is wrapped in a cloud of oud.","Slow-motion smoke, gold textiles, soft reverent light","Oud at the Wedding: Perfuming the Bride in the Gulf",Planned
17,Sun,D - Wildcard,Economy,"The grading systems compared - Japanese vs Arab vs Chinese","Comparison","Three civilisations, three ways to price the same chunk of wood.","Side-by-side graded trays, clean studio, labels","How Is Agarwood Graded? Japanese vs Arab vs Chinese Systems",Planned
18,Mon,A - Science & The Tree,Taxonomy,"Aquilaria subintegra and the 'Subin' plantations","Profile / portrait","A fast-resin species that built an industry in two decades.","Plantation documentary, young trees, inoculation holes","Aquilaria subintegra: The Species Behind 'Subin' Oud",Planned
18,Wed,B - History & Trade,Vietnam,"The Hoi An and Quang Nam oud ports","Map journey","One river mouth in Vietnam shipped oud to half of Asia.","Old port town, lanterns, river, golden archival haze","Hoi An and the Oud Trade: Vietnam's Fragrant Port",Planned
18,Fri,C - Culture / Myth / Medicine,Buddhism,"Zen and incense - burning a stick to measure meditation","Origin story (of a practice)","A monk doesn't watch a clock - he watches a stick of incense burn down.","Zendo, single incense stick, shaft of light, stillness","Why Zen Monks Measure Meditation With Incense",Planned
18,Sun,D - Wildcard,Conservation,"Can you buy 'ethical oud'? - certification schemes","Myth-bust","A label says 'sustainable oud.' Does that label mean anything?","Documentary, certificate close-up, plantation, jungle","Is There Such a Thing as Ethical Oud? Certification Explained",Planned
19,Mon,A - Science & The Tree,Naming,"The 'agallocha' naming tangle","Detective / archive","Two centuries of botanists arguing over what to call the same tree.","Animated taxonomic family tree, crossed-out Latin names","Why Agarwood's Scientific Name Is Such a Mess (Agallocha Explained)",Planned
19,Wed,B - History & Trade,European exploration,"Marco Polo and 'lignum aloes' in European eyes","Letter / traveller's voice","A Venetian traveller writes: they have a wood here worth its weight in silver.","Medieval European map, illuminated margins, candlelight","Marco Polo and 'Lignum Aloes': Europe Discovers Agarwood",Planned
19,Fri,C - Culture / Myth / Medicine,Africa,"Somali and East African incense culture and trade","Day-in-the-life","On this coast, the incense burner is as common as the coffee pot.","Coastal town, mabkhara, sea light, warm interiors","Agarwood in the Horn of Africa: An Overlooked Incense Culture",Planned
19,Sun,D - Wildcard,Economy,"The plantation boom and bust - the 2010s oversupply story","By the numbers","Everyone planted Aquilaria. Then the price of low-grade oud collapsed.","Neon data-viz, price line crashing, plantation drone","The Agarwood Bubble: How the 2010s Plantation Boom Went Bust",Planned
20,Mon,A - Science & The Tree,Family botany,"Thymelaeaceae - agarwood's family (and its poisonous cousins)","Family tree","Agarwood's relatives include a famous poison and a paper plant.","Botanical-illustration animation, branching family tree","Agarwood's Family Tree: Meet Thymelaeaceae",Planned
20,Wed,B - History & Trade,Colonial Indian Ocean,"The Portuguese in the Indian Ocean - Tome Pires' spice ledger","Letter / clerk's voice","A Portuguese clerk in Malacca writes down where the best 'calambac' comes from.","16th-c. ship's cabin, ledgers, charts, lantern","Tome Pires and the Portuguese Hunt for the Best Agarwood",Planned
20,Fri,C - Culture / Myth / Medicine,Literature,"Oud in Arabic love poetry - the beloved's scent","Sensory journey","A poet says: I knew she had passed because the air still wore oud.","Calligraphy dissolving into a moonlit courtyard, smoke","Oud in Arabic Poetry: When Perfume Stands for Love",Planned
20,Sun,D - Wildcard,Biotech,"Lab-grown / cell-culture agarwood - hype vs reality","Myth-bust","A press release says 'agarwood grown in a flask.' Let's check.","Lab-noir, bioreactor, cell cultures, cool blue","Lab-Grown Agarwood: Real Breakthrough or Just Hype?",Planned
21,Mon,A - Science & The Tree,Reproduction,"Aquilaria's moth-pollinated flowers","POV: a night-flying moth","After dark, a small moth decides whether there'll be more agarwood trees.","Night macro, white blossoms, moth in moonlight","How Agarwood Trees Reproduce: The Moths That Pollinate Aquilaria",Planned
21,Wed,B - History & Trade,Colonial Indian Ocean,"The Dutch VOC and Rumphius's 'Herbarium Amboinense'","Letter / naturalist's voice","A half-blind Dutch botanist in the Moluccas draws agarwood for the first time, carefully.","Tropical study, pressed plants, ink drawings, lamp","Rumphius and the Dutch East India Company's Agarwood Records",Planned
21,Fri,C - Culture / Myth / Medicine,Folk belief,"Folk belief - agarwood against the evil eye","Myth-bust","In some villages a chip of oud is worn the way others wear a charm.","Warm village interiors, amulet on a cord, smoke","Agarwood as Protection: Folk Beliefs About Oud and the Evil Eye",Planned
21,Sun,D - Wildcard,Mystery,"The unsolved question - which fungi (if any) are essential?","Unsolved mystery","Wound a tree with no fungus and it still makes oud - so what are the fungi for?","Lab-noir macro, petri dishes, question-mark motif","Do You Actually Need Fungi to Make Agarwood? The Open Question",Planned
22,Mon,A - Science & The Tree,Anatomy,"Heartwood vs sapwood - where agarwood lives","Before / after split","The agarwood is never in the bark - it's deep in the tree's oldest wood.","Cross-section animation, growth rings, resin zones glowing","Heartwood vs Sapwood: Where Agarwood Actually Forms",Planned
22,Wed,B - History & Trade,Mughal India,"Mughal India - Akbar's perfumery and the rise of 'itr","Court intrigue","In Akbar's court, a master perfumer outranked half the nobles.","Mughal palace, marble, attar bottles, jewel tones","Agarwood in the Mughal Court: Akbar's Perfumers and 'Itr",Planned
22,Fri,C - Culture / Myth / Medicine,Esoteric Buddhism,"Esoteric Buddhism (Shingon and Tendai) and agarwood","Ritual close-up","In a darkened hall a monk burns a precise blend at a precise moment.","Mountain temple, mandala, candlelight, incense haze","Agarwood in Esoteric Buddhism: Shingon and Tendai Incense",Planned
22,Sun,D - Wildcard,Sustainability,"Aquilaria as an agroforestry intercrop (coffee, fruit, shade)","Day-in-the-life","On this farm, the agarwood trees share a field with the coffee.","Bright agroforestry documentary, mixed canopy, drone","Growing Agarwood With Coffee: The Agroforestry Approach",Planned
23,Mon,A - Science & The Tree,Anatomy,"Ray parenchyma - the cells that store the resin","POV: inside a wood cell","Zoom past the grain and you'll find the tiny tanks that hold the perfume.","Hyper-macro into cell walls, glowing resin droplets","Inside the Wood: The Cells That Store Agarwood Resin",Planned
23,Wed,B - History & Trade,Persia and Ottomans,"Safavid Persia and the Ottoman court","Court intrigue","From Isfahan to Istanbul, oud smoke signalled who mattered.","Persian palace tilework, Ottoman court, censers, gold","Agarwood in Safavid Persia and the Ottoman Empire",Planned
23,Fri,C - Culture / Myth / Medicine,Korea,"Maehyangbi - Korea's agarwood buried for a future Buddha","Object biography","A thousand years ago, Koreans sank oud into a riverbed - as a message to the future.","Tidal mudflat, stone stele, low grey-gold light","Maehyangbi: The Agarwood Korea Buried for the Maitreya Buddha",Planned
23,Sun,D - Wildcard,Economy,"The economics of one agarwood tree over 20 years","By the numbers","Plant a tree today: here's every cost and payday until harvest.","Neon data-viz timeline, money flowing over 20 years","Is Growing Agarwood Profitable? A 20-Year Cost Breakdown",Planned
24,Mon,A - Science & The Tree,Colour chemistry,"Why resin-soaked wood turns black","Lab bench","Pale wood goes ink-black - and it's all about what the resin does to light.","Macro of darkening wood, cross-polarised light","Why Agarwood Is So Dark: The Chemistry of the Colour",Planned
24,Wed,B - History & Trade,Botany history,"The first botanical description of Aquilaria (Lamarck, 1783)","Letter / scientist's voice","In 1783 a French botanist finally gives the oud tree a proper name.","18th-c. herbarium, quill, pressed specimen, candle","1783: When Aquilaria Finally Got a Scientific Name",Planned
24,Fri,C - Culture / Myth / Medicine,Kodo schools,"Kodo's schools: Oie-ryu vs Shino-ryu","Comparison","Two families, two ways to hold a tiny cup of warm wood.","Tatami room, two sets of incense tools side by side","The Two Schools of Kodo: Oie-ryu and Shino-ryu Compared",Planned
24,Sun,D - Wildcard,Sustainability,"Carbon credits and Aquilaria plantations - the new math","By the numbers","A plantation that pays you twice: once in oud, once in carbon.","Neon data-viz, forest carbon, plantation drone","Can Agarwood Plantations Earn Carbon Credits?",Planned
